Input,Time
0,0.005
10,0.432
20,2.4699999999999998
30,6.505999999999999
40,15.011999999999999
50,28.306
60,48.150999999999996
70,75.507
80,125.112
90,162.969
100,215.434
110,288.313
120,398.505
130,502.278
140,604.876
150,758.695
160,905.481
170,1133.5910000000001
180,1350.455
190,1575.655
200,4114.150000000001
210,2395.9359999999997
220,2426.131
230,2759.855
240,3130.396
250,3820.906
260,6068.955
270,5431.5
280,5445.142
290,6183.148
300,9927.277
310,7643.751
320,8402.956
330,10841.886
340,11498.493
350,23977.647
360,32065.506999999998
370,20651.584
380,18675.497
390,18233.505
400,19217.936
410,18529.553
420,18873.018
430,20324.916
440,20854.002999999997
450,27423.535
460,24125.931
470,27613.736
480,31932.922000000002
490,36480.545
500,47004.797000000006
510,45507.879
520,39140.901999999995
530,36967.44
540,39973.481
550,43756.051
560,47377.507
570,288684.823
580,59085.144
590,53550.567
600,55662.787000000004
610,62117.434
620,62507.781
630,66759.62800000001
640,73399.96800000001
650,71746.02799999999
660,76909.96800000001
670,85765.535
680,95093.86600000001
690,86053.12700000001
700,99012.471
710,92615.54
720,97211.979
730,104821.063
740,391954.20999999996
750,144562.749
760,201860.84399999998
770,137919.892
780,228803.086
790,284732.04099999997
800,229040.16999999998
810,162776.717
820,148104.964
830,162339.692
840,161485.087
850,192998.432
860,176627.998
870,174095.381
880,203081.862
890,219821.75100000002
900,355768.683
910,217302.905
920,225972.579
930,237493.134
940,223246.149
950,344710.212
960,254697.401
970,249285.90600000002
980,273976.87100000004
990,1257936.414
1000,335810.155
