Input,Time
0,626.579
10,0.024
20,0.07200000000000001
30,0.12300000000000001
40,0.225
50,0.324
60,0.456
70,0.7200000000000001
80,1.121
90,1.32
100,1.595
110,2.229
120,2.592
130,3.463
140,4.286
150,5.064
160,6.723
170,7.2909999999999995
180,9.083
190,9.83
200,13.851
210,13.805
220,15.899
230,19.165000000000003
240,21.073999999999998
250,22.281
260,24.688000000000002
270,29.843999999999998
280,31.765
290,38.597
300,41.362
310,43.858000000000004
320,52.257
330,50.629
340,54.407
350,61.025000000000006
360,66.741
370,68.929
380,74.91499999999999
390,88.073
400,95.99199999999999
410,96.76700000000001
420,116.497
430,111.943
440,121.767
450,127.23499999999999
460,139.306
470,156.154
480,195.37199999999999
490,196.798
500,200.381
510,229.55700000000002
520,241.518
530,286.568
540,314.446
550,347.8
560,299.45
570,416.604
580,470.123
590,507.64799999999997
600,403.97499999999997
610,601.673
620,487.644
630,713.154
640,740.161
650,674.498
660,803.862
670,769.9549999999999
680,1079.564
690,902.97
700,1086.746
710,940.021
720,1503.7720000000002
730,1180.432
740,978.313
750,1118.18
760,1687.268
770,1607.9270000000001
780,4405.92
790,3058.3849999999998
800,1559.32
810,1455.438
820,2325.532
830,5268.865
840,4928.384999999999
850,2374.792
860,1638.082
870,1902.31
880,1977.756
890,2118.1169999999997
900,2044.083
910,7632.5289999999995
920,2116.651
930,2326.111
940,2292.396
950,9163.923
960,3260.927
970,2949.117
980,3297.264
990,7199.724
1000,3320.741
