Input,Time
0,0.008
10,0.098
20,0.032
30,0.039
40,0.041999999999999996
50,0.034999999999999996
60,0.049
70,0.147
80,0.118
90,0.094
100,0.149
110,0.176
120,0.224
130,0.21800000000000003
140,0.382
150,0.482
160,0.6040000000000001
170,0.481
180,0.5339999999999999
190,0.5950000000000001
200,0.68
210,0.751
220,0.892
230,4.439
240,1.5939999999999999
250,1.2409999999999999
260,1.297
270,2.137
280,1.441
290,1.549
300,1.9220000000000002
310,1.935
320,3.269
330,2.4229999999999996
340,2.599
350,2.968
360,5.3420000000000005
370,4.3420000000000005
380,3.505
390,3.718
400,10.279
410,8.366999999999999
420,6.225
430,6.175
440,4.927
450,5.09
460,6.927
470,7.391
480,8.347999999999999
490,6.904000000000001
500,11.42
510,8.955
520,9.62
530,8.337000000000002
540,12.231
550,8.786
560,12.836
570,9.908999999999999
580,9.998
590,20.384
600,13.91
610,14.588000000000001
620,14.211
630,12.845
640,14.924
650,13.469
660,14.456
670,14.806
680,16.735
690,16.371
700,23.959999999999997
710,18.416999999999998
720,24.728
730,20.712
740,22.943
750,28.549000000000003
760,40.992
770,25.148
780,27.05
790,24.936
800,25.568
810,27.944
820,33.988
830,28.242
840,29.512
850,38.032000000000004
860,37.904
870,32.561
880,53.443999999999996
890,36.513999999999996
900,41.293000000000006
910,43.207
920,36.839999999999996
930,42.948
940,39.849999999999994
950,40.865
960,43.098
970,42.006
980,64.858
990,50.323
1000,44.927
